what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1285201454726
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201462785
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201511057
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201511927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201517100
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1285201517168
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285201518608
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1285201525021
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1285201528390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201560379
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201560637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201563648
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1285201563741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201577186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201612907
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201613052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201652037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201652145
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201677265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201679970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201696470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201700300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201707611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201710920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201714338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201722424
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285201725158
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285201725221
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285201729524
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1285201765851
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1285201765892
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285201766389
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285201773795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201816785
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201817915
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201824659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285201824770
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1285201855603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1285201855677
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285201861244
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285201895230
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285201898649
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285201938836
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285201939711
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285201944723
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285201952888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202016684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202028073
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1285202028124
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202029539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202034132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202037034
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285202054258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202065848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202067464
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202067528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202080763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202135615
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285202142843
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202144054
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285202145742
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202147668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202150134
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285202152560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202169913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202182661
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1285202182677
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202183913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285202188538
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202197321
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202199023
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285202200083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202208834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202210029
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202221307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202235316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202240373
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202249930
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1285202249964
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202251233
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285202253980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202259108
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1285202263526
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1285202263615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202385189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202385482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202428225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285202430760
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1285202527813
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1285202527887
